32.0202, 5400, 1800, 0, -nan, -nan
34.8101, 5397.98, 2686.11, 0.000223061, 0, 0
34.8201, 5397.98, 2686.11, 0.000223061, -17.1149, 1850.5
34.8301, 5398.27, 2704.62, 0.000254949, 0, 0
34.8401, 5398.27, 2704.62, 0.000254949, 29.0988, 1850.01
34.8501, 5398.25, 2722.21, 0.000219515, 0, 0
34.8601, 5398.25, 2722.21, 0.000219515, -1.66915, 1756.77
34.8701, 5398.39, 2740.11, 0.000213209, 0, 0
34.8801, 5398.39, 2740.11, 0.000213209, 13.76, 1784.89
34.8901, 5398.38, 2758.94, 0.000227859, 0, 0
34.9001, 5398.38, 2758.94, 0.000227859, -1.72255, 1883.96
34.9101, 5398.51, 2778.07, 0.000243114, 0, 0
34.9201, 5398.51, 2778.07, 0.000243114, 13.6329, 1912.07
34.9301, 5398.49, 2796.89, 0.000250855, 0, 0
34.9401, 5398.49, 2796.89, 0.000250855, -1.77816, 1880.91
34.9501, 5398.48, 2816.49, 0.00026786, 0, 0
34.9601, 5398.48, 2816.49, 0.00026786, -1.86933, 1958.55
34.9701, 5398.61, 2836.24, 0.000258695, 0, 0
34.9801, 5398.61, 2836.24, 0.000258695, 13.5073, 1971.03
34.9901, 5397.82, 2855.83, 0.000277662, 0, 0
35, 5397.82, 2855.83, 0.000277662, -78.8696, 1955.59
35.0101, 5396.72, 2875.12, 0.000288901, 0, 0
35.0201, 5396.72, 2875.12, 0.000288901, -109.379, 1919.51
35.0301, 5395.93, 2894.56, 0.000328103, 0, 0
35.0401, 5395.93, 2894.56, 0.000328103, -79.0101, 1941.48
35.0501, 5394.37, 2914.61, 0.000301355, 0, 0
35.0601, 5394.37, 2914.61, 0.000301355, -156.216, 2004.18
35.0701, 5391.72, 2934.67, 0.000305351, 0, 0
35.0801, 5391.72, 2934.67, 0.000305351, -263.751, 2001.41
35.0901, 5391.72, 2934.67, 0.000305351, 0, 0
35.1001, 5388.93, 2954.11, 0.000296629, 0, 0
